parent_category,parent_subject_id,parent_title,parent_url,row_number,title,last_updated,url,extracted_at
Statistik Demografi dan Sosial,519,Kependudukan dan Migrasi,https://medankota.bps.go.id/id/statistics-table?subject=519,1,"Rasio Jenis Kelamin Penduduk Kota Medan Menurut Kecamatan (Persen), 2001 - 2024",7 Juli 2025,https://medankota.bps.go.id/id/statistics-table?subject=519#row-1,2025-08-26T13:11:56.436551
Statistik Demografi dan Sosial,519,Kependudukan dan Migrasi,https://medankota.bps.go.id/id/statistics-table?subject=519,2,"Rasio Jenis Kelamin Kota Medan Menurut Kecamatan, 2022 - 2024",6 Juli 2025,https://medankota.bps.go.id/id/statistics-table?subject=519#row-2,2025-08-26T13:11:56.601632
Statistik Demografi dan Sosial,519,Kependudukan dan Migrasi,https://medankota.bps.go.id/id/statistics-table?subject=519,3,"Jumlah Penduduk Kota Medan Menurut Kelompok Umur dan Jenis Kelamin (Jiwa), 2010 - 2024",6 Juli 2025,https://medankota.bps.go.id/id/statistics-table?subject=519#row-3,2025-08-26T13:11:56.739187
Statistik Demografi dan Sosial,519,Kependudukan dan Migrasi,https://medankota.bps.go.id/id/statistics-table?subject=519,4,"Distribusi Persentase Penduduk Menurut Kecamatan (Persen), 2001 - 2024",6 Juli 2025,https://medankota.bps.go.id/id/statistics-table?subject=519#row-4,2025-08-26T13:11:56.893742
Statistik Demografi dan Sosial,519,Kependudukan dan Migrasi,https://medankota.bps.go.id/id/statistics-table?subject=519,5,"Jumlah Penduduk Kota Medan Menurut Kecamatan dan Jenis Kelamin (Jiwa), 2001 - 2024",6 Juli 2025,https://medankota.bps.go.id/id/statistics-table?subject=519#row-5,2025-08-26T13:11:57.162634
Statistik Demografi dan Sosial,519,Kependudukan dan Migrasi,https://medankota.bps.go.id/id/statistics-table?subject=519,6,"Umur Harapan Hidup Hasil Long Form SP2020, 2020 - 2024",3 Desember 2024,https://medankota.bps.go.id/id/statistics-table?subject=519#row-6,2025-08-26T13:11:57.314606
Statistik Demografi dan Sosial,519,Kependudukan dan Migrasi,https://medankota.bps.go.id/id/statistics-table?subject=519,7,"Indeks Pembangunan Manusia (Hasil Long Form SP2020), 2020 - 2024",3 Desember 2024,https://medankota.bps.go.id/id/statistics-table?subject=519#row-7,2025-08-26T13:11:57.478827
Statistik Demografi dan Sosial,519,Kependudukan dan Migrasi,https://medankota.bps.go.id/id/statistics-table?subject=519,8,"Angka Harapan Hidup (AHH) Menurut Jenis Kelamin Kota Medan, 2010 - 2022",8 Oktober 2023,https://medankota.bps.go.id/id/statistics-table?subject=519#row-8,2025-08-26T13:11:57.603162
Statistik Demografi dan Sosial,519,Kependudukan dan Migrasi,https://medankota.bps.go.id/id/statistics-table?subject=519,9,"Jumlah Penduduk dan Rumah Tangga menurut Kabupaten/Kota di Provinsi Sumatera Utara, 2015",14 November 2019,https://medankota.bps.go.id/id/statistics-table?subject=519#row-9,2025-08-26T13:11:57.642986
Statistik Demografi dan Sosial,519,Kependudukan dan Migrasi,https://medankota.bps.go.id/id/statistics-table?subject=519,10,"Luas Wilayah, Jumlah Penduduk dan Kepadatan Penduduk Menurut Kecamatan Tahun 2018",13 November 2019,https://medankota.bps.go.id/id/statistics-table?subject=519#row-10,2025-08-26T13:11:57.759237
